Rk,Player,Tkl/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Tkl/90,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Pos
454,Jurriën Timber,2.2,2024-2025,23,nl NED,Arsenal,eng Premier League,30,2417,26.9,27,3,2,0,0.1,0.1,0,0,0,0,2.2,1.4,0.6,1.1,0.4,0.7,1,66.7,0.3,0.7,0.1,0.6,0.8,3,1.6,0,DF
455,Guela Doué,2.2,2024-2025,21,ci CIV,Strasbourg,fr Ligue 1,32,2717,30.2,30,2,0,0,0.1,0.1,0,0,0,0,2.2,1.5,1.3,0.5,0.3,1.2,1.8,68.5,0.6,1.3,0.2,1.1,1.1,3.3,5.1,0,DF
456,El Chadaille Bitshiabu,2.2,2024-2025,19,fr FRA,RB Leipzig,de Bundesliga,21,1130,12.6,13,8,7,0,0,0,0,0,0,0,2.2,1.4,1.4,0.7,0.1,0.8,1.5,52.6,0.7,2,1.1,0.9,1,3.2,7.7,0.2,DF
457,Koke,2.1,2024-2025,32,es ESP,Atlético Madrid,es La Liga,32,1926,21.4,20,12,1,0,0,0.1,0,0,0,0,2.1,1.1,0.8,1,0.3,1,2,48.8,1,1.1,0.1,1,0.9,3.1,1.4,0.1,MF
458,Kevin Stöger,2.1,2024-2025,30,at AUT,Gladbach,de Bundesliga,31,1551,17.2,16,15,3,0.2,0.2,0.3,0.1,0.1,0.1,0,2.1,1.2,1.3,0.6,0.2,0.9,2.3,41,1.3,1.4,0.2,1.2,0.9,3.1,1.5,0.2,MF
459,Cheikh Niasse,2.1,2024-2025,24,sn SEN,Hellas Verona,it Serie A,11,755,8.4,8,3,2,0,0,0,0,0,0,0,2.1,1.8,0.7,1.4,0,1.2,2.3,52.6,1.1,2,0.5,1.5,2,4.2,2,0.2,MF
460,Joelinton,2.1,2024-2025,27,br BRA,Newcastle Utd,eng Premier League,29,2393,26.6,29,0,0,0.2,0.1,0.3,0.2,0,0,0,2.1,1.3,0.9,0.9,0.4,0.9,1.7,56.8,0.7,1.4,0.3,1.1,0.9,3,1.8,0.1,"MF,FW"
461,Lucas Mincarelli,2.1,2024-2025,20,fr FRA,Montpellier,fr Ligue 1,10,715,7.9,8,2,6,0.1,0,0.1,0.1,0,0,0,2.1,1.3,0.8,1.1,0.3,0.8,1.6,46.2,0.9,1,0.6,0.4,1.1,3.3,3.4,0,DF
462,Leonardo Balerdi,2.1,2024-2025,25,ar ARG,Marseille,fr Ligue 1,27,2273,25.3,27,0,1,0,0,0,0,0,0,0,2.1,1.5,1.3,0.7,0.2,1.1,1.9,57.4,0.8,1,0.6,0.4,1.5,3.6,2.9,0.2,DF
463,Emre Can,2.1,2024-2025,30,de GER,Dortmund,de Bundesliga,31,2105,23.4,23,8,0,0.1,0,0.1,0,0.1,0.1,0,2.1,1.2,1.3,0.7,0.2,0.8,1.5,50,0.8,1.3,0.7,0.6,0.9,3,3.8,0.1,"DF,MF"
