,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,,,Short,,,Medium,,,Long,,,
Rk,Player,Cmp/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp/90,Att,Cmp%,KP,03-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos
440,Marcão,46.3,2024-2025,28,br BRA,Sevilla,es La Liga,12,552,6.1,6,6,22,0,0,0,0,0,0,0,46.3,51.4,90.2,0,2.3,0,0,3.1,827.1,334.1,19.9,20.4,97.6,22.2,23.8,93.2,4.1,6,67.6,DF
441,Nnamdi Collins,46.3,2024-2025,20,de GER,Eint Frankfurt,de Bundesliga,24,1489,16.5,15,9,7,0.1,0.1,0.1,0.1,0,0,0,46.3,53.7,86.3,0.1,3.2,0.7,0.1,3.8,756.9,218.6,20.9,22.4,93.5,22.1,24.8,89,2.3,4.6,50,DF
442,Christopher Wooh,46.3,2024-2025,22,cm CMR,Rennes,fr Ligue 1,20,1456,16.2,17,3,11,0,0,0,0,0,0,0,46.3,53.2,87.1,0.1,3.2,0.1,0,3.6,889.2,339.4,14.3,16,89.6,28.2,30.2,93.3,3.5,6.1,56.6,DF
443,Victor Lindelöf,46.3,2024-2025,30,se SWE,Manchester Utd,eng Premier League,16,704,7.8,6,10,7,0,0,0,0,0,0,0,46.3,49.3,93.8,0.4,2.2,0.3,0.1,3.3,776.5,244.4,19.7,20.8,94.5,23.5,24.4,96.3,2.6,3.3,76.9,DF
444,Neil El Aynaoui,46.2,2024-2025,23,ma MAR,Lens,fr Ligue 1,24,1588,17.6,17,7,1,0.5,0.1,0.5,0.3,0.2,0.2,0,46.2,54.7,84.5,1.2,4.3,0.4,0.1,4.3,724.1,200.2,24.5,26.6,92.1,16.2,18.5,87.5,3.2,5.6,57.6,MF
445,Marc Roca,46.2,2024-2025,27,es ESP,Betis,es La Liga,14,906,10.1,11,3,1,0.2,0.2,0.4,0.2,0,0,0,46.2,53.4,86.4,1.2,5.1,0.6,0.2,5.9,791.1,228.8,21.9,23.4,93.2,19.7,21.5,91.7,3.3,5.4,61.1,MF
446,Hauke Wahl,46.1,2024-2025,30,de GER,St. Pauli,de Bundesliga,33,2970,33,33,0,0,0,0,0,0,0,0,0,46.1,53.2,86.6,0.3,3.6,0.2,0,4.3,803.3,281.7,17.8,19.3,92.2,24.8,27.4,90.8,2.6,5,51.8,DF
447,Kyle Walker-Peters,46,2024-2025,27,eng ENG,Southampton,eng Premier League,33,2918,32.4,33,0,2,0,0.1,0.1,0,0,0,0,46,52.2,88.2,0.7,3.7,0.9,0.1,4.3,691.4,203.1,25.7,27.3,93.9,17.7,19.6,90,1.7,2.9,60.2,DF
448,Óscar de Marcos,46,2024-2025,35,es ESP,Athletic Club,es La Liga,26,1564,17.4,17,9,11,0,0.2,0.2,0,0,0,0,46,58.1,79.2,1.1,5.8,1.4,0.9,5.9,825,310.3,20.6,23.3,88.4,20.4,24.4,83.7,4.8,8.2,59.2,DF
449,Matt Doherty,46,2024-2025,32,ie IRL,Wolves,eng Premier League,30,2109,23.4,25,5,8,0.1,0,0.1,0.1,0,0,0,46,55.6,82.8,0.5,4,0.6,0,3.4,857.8,281,18.6,20.6,90.1,21.9,25.2,87,4.9,7.9,61.8,DF
450,Julien Le Cardinal,46,2024-2025,26,fr FRA,Brest,fr Ligue 1,16,1378,15.3,15,1,8,0,0.1,0.1,0,0,0,0,46,53.2,86.4,0.3,2.8,0,0,2.5,948.9,357.1,14.8,16.3,90.8,24.1,25.3,95.3,6.6,10.6,62.3,DF
