Rk,Player,Tkl/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Tkl/90,TklW,Def 3rd,Mid 3rd,Att 3rd,Challenges Tkl,ChallengesAtt,Challenges Tkl%,Challenges Lost,Blocks,Sh Blocks,Pass Blocks,Int,Tkl+Int,Clr,Err,Pos
252,Lucas Paquetá,2.5,2024-2025,26,br BRA,West Ham,eng Premier League,33,2380,26.4,27,6,1,0.2,0,0.2,0.1,0.1,0.1,0,2.5,1.4,0.9,1.1,0.4,1,2.1,49.1,1.1,1.1,0.2,0.9,0.7,3.2,1.4,0.2,"MF,FW"
253,Ngal'Ayel Mukau,2.5,2024-2025,19,cd COD,Lille,fr Ligue 1,22,1190,13.2,14,8,7,0,0.1,0.1,0,0,0,0,2.5,1.4,0.7,1.7,0.2,1.3,2.2,58.6,0.9,1.1,0,1.1,1.1,3.6,1.7,0,MF
254,Nahuel Molina,2.5,2024-2025,26,ar ARG,Atlético Madrid,es La Liga,30,1590,17.7,17,13,6,0,0.2,0.2,0,0,0,0,2.5,1.1,1.2,1.2,0.1,1.8,3.2,55.4,1.4,0.9,0.2,0.7,0.7,3.2,3,0,DF
255,Gavi,2.5,2024-2025,19,es ESP,Barcelona,es La Liga,26,1085,12.1,14,12,3,0.1,0.1,0.2,0.1,0,0,0,2.5,1.7,0.8,1.2,0.4,1.2,2.2,57.7,0.9,1.2,0.1,1.1,0.8,3.3,0.6,0,"MF,FW"
256,Lucas Digne,2.5,2024-2025,31,fr FRA,Aston Villa,eng Premier League,32,2351,26.1,28,4,6,0,0.2,0.2,0,0,0,0,2.5,1.5,1.5,0.6,0.3,1.7,2.5,66.7,0.8,0.9,0.2,0.7,1,3.4,3.4,0,DF
257,Joe Willock,2.5,2024-2025,24,eng ENG,Newcastle Utd,eng Premier League,32,1086,12.1,11,21,1,0,0.2,0.2,0,0,0,0,2.5,1.4,1.2,1,0.2,1.5,2.6,58.1,1.1,2,0.5,1.5,0.5,3,0.6,0,"MF,FW"
258,Roméo Lavia,2.5,2024-2025,20,be BEL,Chelsea,eng Premier League,16,797,8.9,11,5,4,0,0.1,0.1,0,0,0,0,2.5,1.5,0.6,1.5,0.5,1.1,2.4,47.6,1.2,0.7,0,0.7,1.8,4.3,1.1,0.1,MF
259,Enric Franquesa,2.5,2024-2025,27,es ESP,Leganés,es La Liga,12,616,6.8,7,5,1,0.1,0,0.1,0.1,0,0,0,2.5,1.3,1.3,0.9,0.3,1.3,1.9,69.2,0.6,1,0.1,0.9,0.7,3.2,1.8,0,"DF,FW"
260,Álex Muñoz,2.5,2024-2025,30,es ESP,Las Palmas,es La Liga,21,1415,15.7,18,3,16,0.2,0,0.2,0.2,0,0,0,2.5,1.8,1.4,1,0.1,1.3,2.4,55.3,1.1,1.8,0.7,1.1,1,3.5,4.4,0,DF
261,Conor Gallagher,2.5,2024-2025,24,eng ENG,Atlético Madrid,es La Liga,32,1633,18.1,19,13,5,0.2,0.2,0.3,0.2,0,0,0,2.5,1.8,0.9,1,0.6,1.2,2.7,44.9,1.5,1.3,0.3,1,1.1,3.6,1.3,0,MF
262,Thomas Meunier,2.5,2024-2025,32,be BEL,Lille,fr Ligue 1,30,1928,21.4,21,9,1,0.1,0,0.1,0.1,0,0,0,2.5,1.8,1.5,0.7,0.3,1.5,2.3,67.3,0.7,1,0.4,0.6,1.6,4.1,3,0,DF
263,Ismaël Bennacer,2.5,2024-2025,26,dz ALG,2 Teams,2 Comps,18,946,10.5,12,6,3,0,0.2,0.2,0,0,0,0,2.5,1.3,0.9,1.4,0.2,1.2,2.4,52,1.1,1,0.3,0.8,1.2,3.7,0.3,0.1,MF
264,Zeki Çelik,2.5,2024-2025,27,tr TUR,Roma,it Serie A,31,2256,25.1,27,4,3,0,0.1,0.1,0,0,0,0,2.5,1.5,0.8,1.2,0.4,0.9,1.7,53.5,0.8,1.1,0.4,0.8,0.6,3.1,3.4,0.1,DF
265,Michael Kayode,2.5,2024-2025,20,it ITA,2 Teams,2 Comps,17,655,7.3,7,10,15,0,0.1,0.1,0,0,0,0,2.5,1.6,1.8,0.7,0,1.2,1.8,69.2,0.5,0.8,0.1,0.7,1.2,3.7,3.6,0,DF
266,Riccardo Calafiori,2.5,2024-2025,22,it ITA,Arsenal,eng Premier League,19,983,10.9,11,8,3,0.2,0.1,0.3,0.2,0,0,0,2.5,1.7,1.4,0.9,0.2,1.6,2.7,62.1,1,1.1,0.5,0.5,0.8,3.3,2.3,0,DF
267,Lewis Holtby,2.5,2024-2025,33,de GER,Holstein Kiel,de Bundesliga,25,1238,13.8,13,12,1,0,0.1,0.1,0,0,0,0,2.5,1.5,1.4,0.7,0.4,0.9,2,42.9,1.2,1,0.1,0.9,1.5,4,1.9,0.2,MF
268,Marcos Llorente,2.5,2024-2025,29,es ESP,Atlético Madrid,es La Liga,33,2513,27.9,28,5,0,0.1,0.1,0.2,0.1,0,0,0,2.5,1.9,1.4,1,0.1,1.3,2,65.5,0.7,1.1,0.3,0.9,1,3.4,1.8,0,"DF,MF"
269,Alidu Seidu,2.5,2024-2025,24,gh GHA,Rennes,fr Ligue 1,11,803,8.9,10,1,0,0,0,0,0,0,0,0,2.5,2,1.6,0.7,0.2,1.3,1.7,80,0.3,1.5,0.7,0.8,1.6,4,1.9,0,DF
270,Andrea Carboni,2.5,2024-2025,23,it ITA,Monza,it Serie A,26,2191,24.3,25,1,6,0,0,0,0,0,0,0,2.5,1.4,1.6,0.7,0.2,1.4,2.2,66,0.7,1.3,0.7,0.6,1.1,3.6,4.4,0.2,DF
271,Toni Lato,2.5,2024-2025,26,es ESP,Mallorca,es La Liga,14,621,6.9,7,7,16,0,0,0,0,0,0,0,2.5,1.6,0.9,0.7,0.9,1,1.6,63.6,0.6,1.4,0.6,0.9,0.9,3.3,4.8,0,DF
272,Mohammed Salisu,2.5,2024-2025,25,gh GHA,Monaco,fr Ligue 1,15,1023,11.4,11,4,15,0.1,0,0.1,0.1,0,0,0,2.5,1.6,1.4,1,0.1,1.1,1.4,81.3,0.3,0.9,0.7,0.2,1.4,3.9,4.8,0.2,DF
273,Lucas Hernández,2.5,2024-2025,28,fr FRA,Paris S-G,fr Ligue 1,16,877,9.7,10,6,4,0,0,0,0,0,0,0,2.5,1.8,1.3,0.9,0.2,1.4,2.4,60.9,0.9,1.2,0.5,0.7,0.7,3.2,3.8,0.2,DF
274,Melvin Bard,2.5,2024-2025,23,fr FRA,Nice,fr Ligue 1,24,1938,21.5,22,2,1,0.1,0,0.1,0.1,0,0,0,2.5,1.7,1.6,0.6,0.2,1.1,2,57.1,0.8,1.8,0.6,1.2,1.3,3.8,2.8,0.1,"DF,MF"
275,Tino Kadewere,2.5,2024-2025,28,zw ZIM,Nantes,fr Ligue 1,12,512,5.7,6,6,1,0.2,0.4,0.5,0.2,0,0,0,2.5,1.4,0.9,0.5,1.1,1.1,2.3,46.2,1.2,0.5,0,0.5,1.1,3.5,1.4,0,"MF,FW"
276,Christoph Baumgartner,2.5,2024-2025,24,at AUT,RB Leipzig,de Bundesliga,31,1610,17.9,18,13,1,0.1,0.1,0.2,0.1,0,0,0,2.5,1.6,0.7,1.1,0.7,1,2.3,40.5,1.4,2.5,0.5,2,0.7,3.1,1.3,0.1,MF
277,Marc Casado,2.5,2024-2025,20,es ESP,Barcelona,es La Liga,23,1611,17.9,20,3,7,0.1,0.2,0.2,0.1,0,0,0,2.5,1.4,0.4,1.7,0.4,1.1,2.3,48.8,1.2,1.1,0.3,0.8,1.2,3.7,1.2,0.1,MF
278,Amir Richardson,2.5,2024-2025,22,ma MAR,Fiorentina,it Serie A,27,1099,12.2,10,17,9,0.1,0.1,0.2,0.1,0,0,0,2.5,1.1,1.1,1.2,0.2,0.7,1.7,42.9,1,1.1,0.1,1.1,0.5,2.9,2.4,0.1,MF
279,Pol Lozano,2.5,2024-2025,24,es ESP,Espanyol,es La Liga,30,1943,21.6,27,3,4,0,0,0,0,0,0,0,2.5,1.6,1.1,1.2,0.2,1.2,2.7,43.1,1.5,1.5,0.3,1.2,1,3.5,1.4,0,MF
280,Gabriel Suazo,2.5,2024-2025,26,cl CHI,Toulouse,fr Ligue 1,30,2163,24,23,7,1,0,0.2,0.2,0,0,0,0,2.5,1.6,1,0.9,0.5,1.2,3,41.7,1.7,1.1,0.1,1,1.5,4,1.7,0,DF
281,Lewis Cook,2.4,2024-2025,27,eng ENG,Bournemouth,eng Premier League,36,2978,33.1,32,4,0,0,0.1,0.1,0,0,0,0,2.4,1.3,1.2,1.1,0.1,1.1,2,55.2,0.9,0.9,0.3,0.6,1.2,3.7,2.1,0,"MF,DF"
282,Hamari Traoré,2.4,2024-2025,32,ml MLI,Real Sociedad,es La Liga,11,700,7.8,9,2,6,0,0.1,0.1,0,0,0,0,2.4,1.5,1.3,0.9,0.3,1.9,2.8,68.2,0.9,0.8,0.3,0.5,1.2,3.6,2.7,0,DF
283,Lasse Rosenboom,2.4,2024-2025,22,de GER,Holstein Kiel,de Bundesliga,26,1734,19.3,21,5,8,0.1,0.1,0.2,0.1,0,0,0,2.4,1.8,1.3,0.8,0.3,1.7,2.4,68.1,0.8,1.5,0.5,1,1,3.4,3.7,0.2,DF
284,Jack Clarke,2.4,2024-2025,23,eng ENG,Ipswich Town,eng Premier League,32,1181,13.1,12,20,3,0,0.3,0.3,0,0,0,0,2.4,1.5,0.8,0.8,0.8,1.3,2.6,50,1.3,0.7,0,0.7,0.5,3,2.2,0.2,"FW,MF"
285,Pervis Estupiñán,2.4,2024-2025,26,ec ECU,Brighton,eng Premier League,30,2402,26.7,26,4,1,0,0,0.1,0,0,0,0,2.4,1.6,1.2,0.9,0.3,1.3,1.9,66.7,0.6,0.7,0.2,0.6,1.4,3.8,2.4,0.1,DF
